Space ID,Carshare Organization,Address Range,Street,Address,Approval Status,Operational Date,Intersection,CNN Segment ID,CNN Intersection ID,Pod Type,Zipcode,Neighborhood,Price Zone,Supervisor District,Geom
Z175,Zipcar,700 - 799,CAPP ST,780 Capp St,approved,01/08/2015,Capp St & 23rd St,3679000,24076000,Double,94110,Mission,1,9,"(37.7540589479, -122.417610009)"
Z020,Zipcar,1500 - 1578,EVANS AVE,1530 Evans Ave,approved,01/29/2015,Evans Ave & Newhall St,5333101,20236000,Double,94124,India Basin,3,10,"(37.7423235225, -122.387001195)"
Z007,Zipcar,1700 - 1799,25TH AVE,1779 25th Ave,approved,12/03/2014,25th Ave & Noriega St,1386000,27384000,Double,94122,Outer Sunset,3,4,"(37.7543233984, -122.482992169)"
C043,City CarShare,2451 - 2499,CLAY ST,2490 Clay St,approved,09/30/2011,Clay St & Fillmore St,4111000,26648000,Double,94115,Pacific Heights,1,2,"(37.7907896686, -122.434078788)"
Z181,Zipcar,700 - 799,ULLOA ST,786 Ulloa St,approved,08/10/2015,Ulloa St & Claremont Ave,12783000,22875000,Single,94127,Laguna Honda,2,7,"(37.7407158643, -122.464653968)"
Z153,Zipcar, , ,207 Brannan St,approved,06/23/2015,Brannan St & Delancey St,3072000,23600000,Double,94107,South Beach,1,6,"(37.7833891553, -122.390242137)"
Z126,Zipcar,1600 - 1699,REVERE AVE,1620 Revere Ave,approved,01/29/2015,Revere Ave & 3rd St,10978000,20498000,Double,94124,Bayview,3,10,"(37.7322919846, -122.391124315)"
E002,Enterprise,2301 - 2499,03RD ST,2475 3rd St,approved,06/08/2015,3rd St & 22nd St,190201,23555000,Double,94107,Dogpatch,1,10,"(37.7584238349, -122.388225108)"
C109,City CarShare,1 - 99,HENRY ST,3 Henry St,approved,01/08/2015,Henry St & Sanchez St,6880000,25976000,Double,94114,Duboce Triangle,1,8,"(37.7667322965, -122.431288574)"
G144,Getaround,300 - 399, SANCHEZ ST,"300 Sanchez St
",approved,12/14/2014,Sanchez St & 16th St,11512000,25797000,Single,94114,Mission Dolores,1,8,"(37.7642389304, -122.430789229)"
G036,Getaround,2800 - 2899,LAGUNA ST,"2860 Laguna Street
",approved,11/01/2014,Laguna St & Union St,7977000,26583000,Single,94123,Union Street,1,2,"(37.7975568071, -122.430458025)"
Z008,Zipcar,1300 - 1399,31ST AVE,1391 34th Ave,approved,11/17/2014,34th Ave & Judah St,1747000,27725000,Double,94122,Outer Sunset,3,4,"(37.7612872876, -122.493154312)"
C135,City CarShare,1500 - 1532,TAYLOR ST,1505 Taylor St,approved,06/10/2015,Taylor St & Pacific Ave,12447000,25130000,Double,94133,Russian Hill,1,3,"(37.7962299483, -122.413490009)"
G234,Getaround, ,LOMBARD ST,1285 Lombard St,approved,07/31/2015,Lombard St & Polk St,8451000,26691000,Double,94109,Russian Hill,1,2,"(37.8016390836, -122.42261831)"
G014,Getaround,1132 - 1199,GREEN ST,"1204 Green Street
",approved,01/16/2015,Green St & Hyde St,6463000,25311000,Single,94109,Russian Hill,1,3,"(37.7982465453, -122.418704971)"
Z093,Zipcar,700 - 799,33RD AVE,715 33rd Ave,approved,12/02/2014,33rd Ave & Balboa St,1724000,27846000,Double,94121,Outer Richmond,3,1,"(37.7756847024, -122.493086027)"
Z125,Zipcar,2660 - 2899,NEWHALL ST,2770 Newhall St,approved,01/29/2015,Newhall St & Egbert Ave,9582003,20608000,Double,94124,Bayview,3,10,"(37.7269241844, -122.399305397)"
C076,City CarShare,730 - 799, COLE ST,799 Cole St,approved,06/08/2015,Cole St & Frederick St,4241000,26410000,Single,94117,Cole Valley,2,5,"(37.7668820389, -122.450235496)"
Z128,Zipcar,1500 - 1578,EVANS AVE,1530 Evans Ave,approved,01/29/2015,Evans Ave & Newhall St,5333101,20236000,Double,94124,India Basin,3,10,"(37.742363195, -122.387076174)"
Z015,Zipcar,1 - 99,EXCELSIOR AVE,23 Excelsior Ave,approved,09/03/2015,Excelsior St & Mission St,5359000,21768000,Double,94112,Excelsior,3,11,"(37.7262067969, -122.433441324)"
Z060,Zipcar,600 - 699,GROVE ST,516 Ivy St,approved,01/05/2015,Ivy St & Laguna St,7352000,25935000,Double,94102,Hayes Valley,1,5,"(37.7769285186, -122.426631559)"
Z141,Zipcar,1 - 99,BEAVER ST,5 Beaver St,approved,07/22/2015,Beaver St & Noe St,2875000,25809000,Double,94114,Duboce Triangle,1,8,"(37.7649819452, -122.433544817)"
G003,Getaround,800 - 899,HAIGHT ST,"888 Haight Street
",approved,02/28/2015,Haight St & Divisadero St,6611000,26026000,Single,94117,Lower Haight,1,5,"(37.7713516573, -122.436856569)"
C053,City CarShare,500 - 599,VALENCIA ST,590 Valencia St,approved,09/30/2011,Valencia St & 17th St,13060000,24174000,Single,94110,Mission Dolores,1,8,"(37.763419948, -122.421860008)"
Z154,Zipcar, , ,207 Brannan St,approved,06/23/2015,Brannan St & Delancey St,3072000,23600000,Double,94107,South Beach,1,6,"(37.7834033083, -122.390224138)"
C074,City CarShare,500 - 599,BARTLETT ST,501 Bartlett St,approved,08/16/2015,Barlett St & 26th St,2747000,21342000,Single,94110,Mission,2,9,"(37.7488297841, -122.419305651)"
Z135,Zipcar,300 - 423,ANDOVER ST,351 Andover St,approved,12/11/2014,Andover St & Cortland Ave,2278000,21213000,Double,94110,Bernal Heights,2,9,"(37.7388479565, -122.416396668)"
C047,City CarShare,1500 - 1532,TAYLOR ST,1505 Taylor St,approved,09/30/2011,Taylor St & Pacific Ave,12447000,25130000,Double,94133,Russian Hill,1,3,"(37.7962719486, -122.413506009)"
Z074,Zipcar,4148 - 4199,20TH ST,4184 20th St,approved,12/03/2014,20th St & Castro St,1066000,25756000,Double,94114,Eureka Valley,1,8,"(37.7577518752, -122.434416315)"
Z193,Zipcar,1400 - 1499,HAYES ST,1490 Hayes St,approved,01/12/2015,Hayes St & Baker St,6826000,26351000,Double,94117,Panhandle,1,5,"(37.7746804247, -122.44071018)"
Z052,Zipcar,700 - 799,SCOTT ST,770 Scott St,approved,06/23/2015,Scott St & Fulton St,11689000,26055000,Double,94117,Alamo Square,1,5,"(37.7768160848, -122.436401593)"
Z182,Zipcar,2400 - 2499,22ND AVE,2401 22nd Ave,approved,12/30/2014,22nd Ave & Taraval St,1151000,23199000,Single,94116,Parkside,3,4,"(37.7427097465, -122.479000108)"
C075,City CarShare,1400 - 1499,JUDAH ST,1400 21st Ave,approved,12/28/2014,21st Ave & Judah St,1081000,27370000,Double,94122,Outer Sunset,2,4,"(37.7614067527, -122.479047695)"
G029,Getaround,200 - 230,FILLMORE ST,200 Fillmore St,approved,02/28/2015,Fillmore St & Waller St,5532000,25895000,Single,94117,Lower Haight,1,5,"(37.771266103, -122.430365676)"
Z177,Zipcar,1900 - 1949,15TH ST,1901 15th St,approved,07/22/2015,15th St & Dolores St,659000,25840000,Double,94114,Mission Dolores,1,8,"(37.7661859481, -122.426880008)"
G153,Getaround,650 - 699,STANYAN ST,"678 Stanyan Street
",approved,01/22/2015,Stanyan St & Haight St,12090000,26434000,Single,94117,Haight Ashbury,2,5,"(37.7694102437, -122.45349485)"
Z058,Zipcar,1600 - 1649,LAGUNA ST,1610 Laguna St,approved,01/05/2015,Laguna St & Post St,7964000,26505000,Double,94115,Japantown,1,5,"(37.7859453881, -122.428246861)"
Z168,Zipcar,51 - 299,PORTOLA DR,195 Portola Dr,approved,04/14/2015,Portola Dr & Clipper St,10611201,22339000,Double,94131,Upper Market,2,8,"(37.7477109481, -122.443939009)"
Z152,Zipcar,900 - 999,20TH ST,900 20th St,approved,10/14/2014,20th St & Minnesota St,1030000,23644000,Double,94107,Dogpatch,1,10,"(37.7603149549, -122.390646889)"
C042,City CarShare,1 - 99,LAPIDGE ST,3 Lapridge St,approved,01/22/2015,Lapridge St & 18th St,8115000,24161000,Single,94110,Mission Dolores,1,8,"(37.7615238438, -122.422430722)"
G043,Getaround,2000 - 2099,MORAGA ST,"2074 Moraga St
",approved,01/11/2015,Moraga St & 27th Ave,9351000,27402000,Single,94122,Outer Sunset,3,4,"(37.755806872, -122.48499107)"
Z028,Zipcar,1 - 99,CARL ST,897 Cole St,approved,08/16/2015,Cole St & Carl St,4242000,26282000,Double,94117,Cole Valley,2,5,"(37.7660226124, -122.450098702)"
G023,Getaround,1000 - 1099,STEINER ST,704 Steiner Street,approved,07/31/2015,Steiner St & Hayes St,12125000,26041000,Double,94117,Alamo Square,1,5,"(37.7757703447, -122.432930474)"
C145,City CarShare,1400 - 1499,JUDAH ST,1400 21st Ave,approved,12/28/2014,21st Ave & Judah St,1081000,27370000,Double,94122,Outer Sunset,2,4,"(37.7613596938, -122.479043579)"
C034,City CarShare,1 - 43,PEARL ST,5 Pearl St,approved,01/01/2015,Pearl St & Market St,10320000,30759000,Single,94103,Mint Hill,1,8,"(37.7711421807, -122.423944356)"
Z195,Zipcar,3351 - 3399,19TH ST,3361 19th St,approved,12/28/2014,19th Ave & Capp St,971000,24131000,Double,94110,Mission,1,9,"(37.7602440958, -122.418319242)"
Z098,Zipcar,500 - 599,BALBOA ST,511 Balboa St,approved,12/03/2014,Balboa St & 6th Ave,2650000,27271000,Double,94118,Inner Richmond,2,1,"(37.7771486414, -122.464339904)"
Z166,Zipcar,100-199,PAGE ST,174 Page St,approved,07/16/2015,Page St & Octavia Blvd,10170000,25909000,Double,94102,Lower Haight,1,5,"(37.7738787444, -122.423837297)"
C028,City CarShare,1 - 99,HAWTHORNE ST,90 Hawthorne St,approved,01/29/2015,Hawthorne St & Folsom St,6809000,24514000,Double,94105,South of Market,1,6,"(37.7847742627, -122.398026107)"
Z185,Zipcar,300 - 399,04TH AVE,305 4th Ave,approved,01/31/2012,4th Ave & Clement St,241000,27250000,Single,94118,Inner Richmond,2,1,"(37.7828955968, -122.462332294)"
Z013,Zipcar,1920 - 1948,OCEAN AVE,1928 Ocean Ave,approved,01/06/2015,Ocean Ave & Keystone Way,9832201,52056000,Double,94127,Mt. Davidson Manor,3,7,"(37.7256838794, -122.463068419)"
C116,City CarShare,700 - 738,GREENWICH ST,700 Greenwich St,approved,06/09/2015,Greenwich St & Powell St,6496000,25451000,Double,94133,North Beach,1,3,"(37.802148107, -122.411384378)"
G079,Getaround,500 - 564,DOLORES ST,504 Dolores St,approved,07/31/2015,Dolores St & 18th St,4870201,25684000,Single,94114,Mission Dolores,1,8,"(37.7612116208, -122.426200548)"
G062,Getaround,1 - 99,SOUTH PARK,2 S Park Ave,approved,01/26/2015,South Park St & 2nd St,12008000,24484000,Double,94107,South Beach,1,6,"(37.7824103968, -122.393047221)"
Z031,Zipcar,500 - 599,BALBOA ST,511 Balboa St,approved,12/03/2014,Balboa St & 6th Ave,2650000,27271000,Double,94118,Inner Richmond,2,1,"(37.7771507398, -122.464265788)"
Z194,Zipcar,900-950,CAROLINA ST,901 Carolina St,approved,06/08/2015,Carolina St & 22nd St,3714201,23703000,Double,94107,Potrero Hill,1,10,"(37.7570340778, -122.399803931)"
C019,City CarShare,50 - 99,SAN JOSE AVE,96 San Jose Ave,approved,01/08/2015,San Jose Ave & 23rd St,11427000,24110000,Double,94110,Dolores Heights,1,8,"(37.7538221578, -122.421589626)"
C015,City CarShare,3351 - 3399,19TH ST,3361 19th St,approved,12/28/2014,19th Ave & Capp St,971000,24131000,Double,94110,Mission,1,9,"(37.7602476404, -122.418253094)"
C080,City CarShare,1 - 99,BROOK ST,3 Brook St,approved,01/01/2015,Brook St & Mission St,3232000,21264000,Single,94110,Bernal Heights,2,9,"(37.7406302995, -122.423307258)"
Z116,Zipcar,1300 - 1399,20TH AVE,1309 20th Ave,approved,10/10/2014,20th Ave & Irving St,1006000,27375000,Double,94122,Outer Sunset,2,4,"(37.7632314413, -122.478253861)"
Z094,Zipcar,300 - 399,28TH AVE,390 28th Ave,approved,06/03/2015,28th Ave & Clement St,1577000,27841000,Double,94121,Outer Richmond,3,1,"(37.7820849471, -122.48807501)"
Z106,Zipcar,700 - 799,SCOTT ST,770 Scott St,approved,06/23/2015,Scott St & Fulton St,11689000,26055000,Double,94117,Alamo Square,1,5,"(37.7767497428, -122.436385732)"
C129,City CarShare,1 - 99,HAWTHORNE ST,90 Hawthorne St,approved,01/29/2015,Hawthorne St & Folsom St,6809000,24514000,Double,94105,South of Market,1,6,"(37.7848196388, -122.398082196)"
Z179,Zipcar,600 - 699,NATOMA ST,601 Natoma St,approved,01/31/2015,Natoma St & 7th St,9514000,24289000,Single,94103,South of Market,1,6,"(37.778280877, -122.410058644)"
C114,City CarShare,700 - 799,CAPP ST,780 Capp St,approved,01/08/2015,Capp St & 23rd St,3679000,24076000,Double,94110,Mission,1,9,"(37.7541809484, -122.417618009)"
Z016,Zipcar,1 - 31,POPE ST,10 Pope St,approved,02/28/2015,Pope St & Mission St,10592000,21483000,Double,94112,Crocker Amazon,3,11,"(37.715169729, -122.441771976)"
Z180,Zipcar,2900 - 2949,22ND ST,2940 22nd St,approved,01/07/2015,22nd St & Treat Ave,1185000,23997000,Single,94110,Mission,1,9,"(37.7558236423, -122.413068683)"
G077,Getaround,1700,FELL ST,1702 Fell Street,approved,07/31/2015,Fell St & Masonic Ave,5456000,26347000,Double,94117,Panhandle,2,5,"(37.7729195592, -122.446157941)"
G026,Getaround,1800 - 1899,VALLEJO ST,"1895 Vallejo Street
",approved,12/03/2014,Vallejo St & Octavia St,13111000,26575000,Single,94123,Pacific Heights,1,2,"(37.7960353863, -122.428337344)"
G233,Getaround, ,"LOMBARD ST
LOMBARD",1285 Lombard St,approved,07/31/2015,Lombard St & Polk St,8451000,26691000,Double,94109,Russian Hill,1,2,"(37.8016307544, -122.422684946)"
G251,Getaround, ,5TH AVE,1245 5th Ave,approved,07/31/2015,5th Ave & Hugo St,285000,27085000,Single,94122,Inner Sunset,2,5,"(37.7649880597, -122.462032035)"
Z183,Zipcar,300 - 399,09TH AVE,399 9th Ave,approved,12/28/2014,9th Ave & Geary Boulevard,425000,27289000,Single,94118,Inner Richmond,2,1,"(37.7810554996, -122.46756947)"
Z190,Zipcar,3800 - 3899,JUDAH ST,3872 Judah St,approved,10/31/2011,Judah St & 44th Ave,1977000,27801000,Single,94122,Outer Sunset,3,4,"(37.7605319478, -122.503708008)"
C046,City CarShare,3800 - 3825,23RD ST,3801 23rd St,approved,01/01/2015,23rd St & Church St,1277000,25641000,Single,94114,Noe Valley,1,8,"(37.7532401035, -122.427783933)"
C004,City CarShare,100 - 199,DIAMOND ST,138 Diamond St,approved,12/28/2014,Diamond St & 18th St,4738000,25816000,Double,94114,Eureka Valley,1,8,"(37.7599082437, -122.437078199)"
Z049,Zipcar,200 - 299,ASHBURY ST,1915 Grove St,approved,06/23/2015,Grove St & Ashburty St,6570000,26380000,Double,94117,Panhandle,2,5,"(37.7745905202, -122.448073051)"
Z092,Zipcar,400 - 499,34TH AVE,3300 Clement St,approved,06/03/2015,Clement St & 34th Ave,4184000,27859000,Double,94121,Outer Richmond,3,1,"(37.7816389358, -122.494700899)"
G041,Getaround,6000 - 6163,FULTON ST,"6143 Fulton Street
",approved,12/25/2014,Fulton St & 37th Ave,5943000,27862000,Single,94121,Outer Richmond,3,1,"(37.7720728055, -122.496881389)"
Z174,Zipcar,1 - 99,HARTFORD ST,1 Hartford St,approved,07/22/2015,Hartford St & 17th St,6766000,25793000,Single,94114,Castro,1,8,"(37.7623695694, -122.433979643)"
Z134,Zipcar,300 - 399,GENNESSEE ST,326 Gennessee St,approved,10/14/2014,Gennessee St & Monterey Blvd,6157000,22245000,Double,94112,Sunnyside,2,7,"(37.7312494243, -122.451087384)"
G236,Getaround, ,GREEN ST,1488 Green St,approved,07/31/2015,Green St & Van Ness Ave,6467000,26551000,Double,94109,Polk Gulch,1,3,"(37.797702893, -122.423496281)"
G070,Getaround,336 - 369,04TH ST,399 4th Street,approved,10/13/2014,4th St & Clara St,257000,23907000,Single,94107,South of Market,1,6,"(37.7813623583, -122.400182007)"
Z046,Zipcar,1 - 99,BEAVER ST,5 Beaver St,approved,07/22/2015,Beaver St & Noe St,2875000,25809000,Double,94114,Duboce Triangle,1,8,"(37.7649928309, -122.433443863)"
Z143,Zipcar,1600 - 1699,20TH ST,1604 20th St,approved,01/14/2015,20th St & Connecticut St,1035000,23666000,Double,94107,Potrero Hill,1,10,"(37.760012133, -122.397507852)"
C106,City CarShare,3700 - 3799,JUDAH ST,3777 Judah St,approved,10/31/2011,Judah St & 43rd Ave,7679000,27800000,Single,94122,Outer Sunset,3,4,"(37.7605589483, -122.502602009)"
Z045,Zipcar,300 - 399,LYON ST,370 Lyon St,approved,06/23/2015,Lyon St & Hayes St,8556000,26356000,Double,94117,Panhandle,1,5,"(37.7741602904, -122.44262676)"
C055,City CarShare,2500 - 2599,POLK ST,2581 Polk St,approved,09/30/2011,Polk St & Greenwich St,10581000,26688000,Single,94109,Russian Hill,1,2,"(37.8004465326, -122.422778064)"
C012,City CarShare,700 - 738,GREENWICH ST,700 Greenwich St,approved,06/09/2015,Greenwich St & Powell St,6496000,25451000,Double,94133,North Beach,1,3,"(37.8021508815, -122.411363793)"
E001,Enterprise,264 - 299,14TH ST,248 14th St,approved,01/29/2015,14th St & Mission St,584000,24372000,Double,94103,Mission,1,9,"(37.768343831, -122.419746725)"
G059,Getaround,514 - 599,HYDE ST,552 Hyde Street,approved,01/16/2015,Hyde St & Geary St,7120000,25161000,Single,94109,Tenderloin,1,6,"(37.785904892, -122.416290164)"
Z159,Zipcar, ,JONES ST,983 Jones St,approved,06/23/2015,Jones St & Pine St,7576000,25090000,Double,94109,Lower Nob Hill,1,3,"(37.7903150581, -122.413963066)"
G084,Getaround,650 - 699,STANYAN ST,"678 Stanyan Street
",approved,01/22/2015,Stanyan St & Haight St,12090000,26434000,Single,94117,Haight Ashbury,2,5,"(37.7693329114, -122.453477005)"
Z161,Zipcar, ,LEAVENWORTH ST,806 Leavenworth St,approved,06/23/2015,Leavenworth St & Sutter St,8245000,25164000,Double,94109,Lower Nob Hill,1,3,"(37.7882643743, -122.415085482)"
Z022,Zipcar,700-798,BOSWORTH ST,728 Bosworth St,approved,09/03/2015,Bosworth St & Brompton Ave,3028101,21808000,Single,94131,Glen Park,2,8,"(37.7338357152, -122.435238019)"
